1.1 Knowing GIS;24/11/2014;5;Self study;1416787200000;18000000
2.1 Abstraction and perception;26/11/2014;3;Self study;1416960000000;10800000
2.2 Geometry;28/11/2014;2;Self study;1417132800000;7200000
2.3 Getting to know ArcGIS / Georeferencing;29/11/2014;4;Self study & Workshop Utrecth;1417219200000;14400000
2.4 Representation and implementation;01/12/2014;5;Self study;1417392000000;18000000
2.5 Examples of GIS implementations;04/12/2014;2;Self study;1417651200000;7200000
3.1 Data input and editing;07/12/2014;2;Self study;1417910400000;7200000
3.2 Remote sensing;08/12/2014;2;Self study;1417996800000;7200000
3.3 Digital image classification;09/12/2014;2;Self study;1418083200000;7200000
3.4 Data errors;10/12/2014;2;Self study;1418169600000;7200000
3.5 Manual digitalizing;11/12/2014;4;Self study;1418256000000;14400000
3.6 Working with digital sensor images;13/12/2014;5;Self study;1418428800000;18000000
3.7 Clearinghouses and metadata;15/12/2014;2;Self study;1418601600000;7200000
4.1 Data querying;17/12/2014;4;Self study;1418774400000;14400000
4.2 Data transformation and reclassification;19/12/2014;4;Self study;1418947200000;14400000
4.3 Processing by attributes;22/12/2014;4;Self study;1419206400000;14400000
4.4 Processing by neighbourhood;27/12/2014;4;Self study;1419638400000;14400000
4.5 Spatial interpolation;29/12/2015;6;Self study;1451347200000;21600000
4.6 Processing by overlay;05/01/2015;6;Self study;1420416000000;21600000
4.7 DEM analysis;08/01/2015;2;Self study;1420675200000;7200000
4.8 Data action modelling;10/01/2015;2;Self study;1420848000000;7200000
Test exam;12/01/2015;2;Assessment;1421020800000;7200000
5.1 Data output;14/01/2015;8;Self study;1421193600000;28800000
Final assignment;19/01/2015;14;Assignment;1421625600000;50400000
Final exam;26/01/2015;4;Assessment;1422230400000;14400000
